NUMBER,TICK,TIME,DS18_T,DS18_E_READ,DS18_E_INIT,DHT_T,DHT_H,DHT_E,SOILTEMP1,SOILTEMP2,SOILTEMP3,SOILTEMP_E_1,SOILTEMP_E_2,SOILTEMP_E_3
0,0,2652,25.375,0,0,0,0,0,33.80071841523983,35.03183329393556,33.14438333216975,0,0,0
1,15,21428,25.4375,0,0,24,54,0,33.61274638597973,34.93653514848734,33.14438333216975,0,0,0
2,30,40255,25.125,0,0,24,53,0,32.306687107843175,34.93653514848734,33.98905894939435,0,0,0
3,45,59025,23.1875,0,0,23,54,0,32.1214190636739,34.74624636977853,34.36687345695208,0,0,0
4,60,77765,22.125,0,0,22,56,0,32.1214190636739,35.12723516443873,34.177774954523954,0,0,0
5,75,96537,22.5625,0,0,23,56,0,32.1214190636739,35.318353769591,34.08336958037245,0,0,0
6,90,115321,22.9375,0,0,23,56,0,32.1214190636739,34.36687345695208,33.706686770567785,0,0,0
7,105,134118,22.8125,0,0,23,59,0,33.706686770567785,33.89484218521875,33.425135954212465,0,0,0
8,120,152877,22.5625,0,0,23,54,0,35.03183329393556,33.80071841523983,33.23788026967833,0,0,0
9,135,171647,22.1875,0,0,23,55,0,35.99067308977135,34.08336958037245,33.14438333216975,0,0,0
10,150,190456,21.9375,0,0,23,56,0,36.474276557117605,33.89484218521875,33.14438333216975,0,0,0
11,165,209231,21.6875,0,0,23,57,0,36.57134740136888,33.89484218521875,33.3314641944919,0,0,0
12,180,228014,21.5625,0,0,22,58,0,36.7658471537826,33.89484218521875,33.425135954212465,0,0,0
13,195,246818,21.4375,0,0,22,60,0,36.7658471537826,33.80071841523983,33.518896399872176,0,0,0
14,210,265585,21.4375,0,0,22,61,0,36.668537267496674,33.425135954212465,33.706686770567785,0,0,0
15,225,284369,22.4375,0,0,22,57,0,35.99067308977135,33.61274638597973,33.3314641944919,0,0,0
16,240,303171,23.25,0,0,23,53,0,35.12723516443873,33.80071841523983,32.95764704553159,0,0,0
17,255,321975,24.0625,0,0,23,50,0,34.55636154483477,33.425135954212465,32.77124862060998,0,0,0
18,270,340780,24.5625,0,0,23,54,0,33.98905894939435,33.518896399872176,32.585181395392,0,0,0
19,285,359547,25.0,0,0,23,61,0,33.518896399872176,34.177774954523954,32.306687107843175,0,0,0
20,300,378296,25.625,0,0,23,62,0,33.05097253774767,33.98905894939435,32.39943875838782,0,0,0
21,315,397105,25.875,0,0,23,56,0,33.14438333216975,33.425135954212465,32.39943875838782,0,0,0
22,330,415872,25.8125,0,0,24,56,0,33.23788026967833,31.016060424279374,32.306687107843175,0,0,0
23,345,434610,25.8125,0,0,24,56,0,32.77124862060998,29.466480319617574,32.492269914646386,0,0,0
24,360,453379,24.75,0,0,24,53,0,32.39943875838782,30.011397253152722,32.67817402242372,0,0,0
25,375,472180,24.75,0,0,24,54,0,32.39943875838782,30.011397253152722,33.14438333216975,0,0,0
26,390,490959,24.4375,0,0,24,54,0,32.02890104724537,30.193501380361965,33.14438333216975,0,0,0
27,405,509733,24.0625,0,0,24,56,0,32.02890104724537,30.28464404806732,33.05097253774767,0,0,0
28,420,528494,24.1875,0,0,24,56,0,32.02890104724537,30.375848129119333,32.86440601793282,0,0,0
29,435,547289,24.3125,0,0,24,56,0,31.93645929083806,30.375848129119333,32.67817402242372,0,0,0
30,450,566075,24.4375,0,0,24,57,0,31.751801343715613,30.467114384048386,32.67817402242372,0,0,0
31,465,584831,24.5,0,0,24,56,0,31.65958355270152,30.467114384048386,32.585181395392,0,0,0
32,480,603604,24.5,0,0,24,56,0,31.567438821027963,30.467114384048386,32.585181395392,0,0,0
33,495,622359,24.5,0,0,24,56,0,31.567438821027963,30.558443575486365,32.585181395392,0,0,0
34,510,641121,24.5,0,0,24,56,0,31.47536635524665,30.558443575486365,32.585181395392,0,0,0
35,525,659895,24.5,0,0,24,56,0,31.47536635524665,30.558443575486365,32.585181395392,0,0,0
36,540,666679,24.5,0,0,24,55,0,31.47536635524665,30.558443575486365,32.585181395392,0,0,0
37,555,673462,24.5,0,0,24,55,0,31.47536635524665,30.558443575486365,32.585181395392,0,0,0
38,570,680194,24.5,0,0,24,55,0,31.47536635524665,30.558443575486365,32.585181395392,0,0,0
39,585,686971,24.5625,0,0,24,55,0,31.47536635524665,30.558443575486365,32.585181395392,0,0,0
